Actor,Birthplace,Birthdate,Nationality,Ethnicity,Height,Weight,Tit Size,Cup Size,Measurements,Hair Color,Eye Color,Years Active,Alias
Abbee Kimberly,"London, England",1988-01-01,British,Latin,"5'3""",126,34,G,34G-26-36,Brown,Brown,2011-present,'Mia Yasmin'
Abigail Mac,"Baltimore, Maryland, United States of America",1988-06-02,American,Caucasian,"5'2""",116.6,34,D,34D-24-36,Brown,Brown,2012-present,"'Abby Mac', 'Abigail Mack', 'FTV Abigail'"
Aleksa Nicole,"Orange County, California, United States of America",1987-04-24,American,Latin,"5'0""",105,32,D,32D-24-33,Brown,Brown,2009-2018,"'Aleksa Nicole', 'Aleska Nicole', 'Alexa Nicole'"
Alena Croft,"Arizona, United States of America",1981-08-25,American,Caucasian,"5'4""",118.8,34,F,34F-26-38,Blonde,Blue,2013-present,"'AZ Blonde', 'AZBlonde', 'Alana Croft', 'Alena'"
Alessandra Jane,"Moscow, Russia",1994-04-08,Russian,Caucasian,"5'2""",107.8,32,D,32D-23-34,Blonde,Blue,2014-present,"'Alessandra J', 'Alessandra Jane', 'Alexa Jane', 'Little Ferguson', 'Tatiana Maier', 'Tatiana Sergeeva'"
Aletta Ocean,"Budapest, Hungary",1987-12-14,Hungarian,Caucasian,"5'7""",132,38,DDD,38DDD-26-37,Black,Grey,2007-present,"'Aletta', 'Aletta Alien', 'Aletta Florancia', 'Aletta Florencia', 'Aletta Nubiles', 'Alien', 'Artemis Gold', 'Beatrice P', 'Doris', 'Doris Alien', 'Florancia', 'Florencia', 'Jessica Kline', 'Nikita Charm'"
Alexa Vega,"Miami, Florida, United States of America",1988-08-27,American,Latin,"5'8""",134.2,32,B,32B-25-32,Blonde,Brown,2018-2019,"'Alexa PenaVega', 'Alexxa Vega', 'Lexa Vega'"
Alexia Vosse,"La Jolla, California, United States of America",1987-05-12,American,Caucasian,"5'1""",110,32,DD,32DD-24-38,Blonde,Blue,2005-present,"'Alexia Vosse', 'Coco Noel', 'Lauryn', 'Loryn', 'Payton West'"
Alexis Amore,"Higuereta, Lima , Peru",1978-12-29,Peruvian,Latin,"5'1""",114,34,DD,34DD-25-34,Black,Brown,1999-present,"'Alexis Amour', 'Alexis Lamore'"
Alexis Bardot,"Budapest, Hungary",1997-08-30,Hungarian,Caucasian,"5'8""",121,34,E,,Blonde,Green,2015-present,None
